OpenFaaS;Fission
2.615031;2.102362
2.553305;2.045958
2.235896;2.355724
2.636505;2.229275
2.563488;2.242579
2.323081;2.341736
2.750635;2.239899
2.131226;2.034893
2.511046;2.036352
2.383410;1.978653
2.549899;2.005423
2.339287;1.918681
2.960160;2.200582
2.336163;2.383000
2.480816;1.933324
2.819941;2.136559
2.441039;2.060857
2.633561;2.215517
2.479621;1.921475
2.308354;1.946464
2.340233;2.240253
2.492513;2.351759
2.549997;1.932790
2.098603;2.130083
2.112857;2.036559
2.419977;2.367900
2.955032;2.249701
2.236664;2.226009
2.443850;2.342064
2.343177;1.818706
2.546515;2.718579
2.054710;2.082892
2.257586;1.863524
2.719410;2.218437
2.162146;1.864440
2.517169;2.094875
2.958727;2.036206
2.437777;1.829009
2.240155;2.137923
2.654667;2.273559
2.808177;2.205491
2.778220;1.948979
2.455441;2.230148
2.239878;2.032243
2.360022;2.137712
3.058426;2.137107
2.724940;3.267214
2.452585;1.793905
2.336979;2.170494
2.654208;1.936551
2.914079;2.031552
2.350258;2.237045
2.674083;2.863513
2.520279;2.137292
2.339749;2.377481
2.141307;2.003353
2.339246;1.935424
2.465617;2.030129
2.519506;2.506219
2.238522;1.836272
2.238082;1.789990
4.800547;2.278533
2.342281;1.992929
2.315805;2.449732
1.957362;2.851515
2.660452;2.453659
2.642027;1.783149
2.731312;1.981068
2.277766;2.238628
2.419783;2.303935
2.368743;2.187891
2.416762;2.639957
1.987895;1.935331
2.387900;2.989722
2.347335;1.904324
2.259856;2.132275
3.170175;1.932172
2.314246;2.352552
2.446664;2.027880
2.126037;1.829065
2.040126;2.418036
2.642174;1.760325
2.248996;2.041201
2.229063;2.448993
2.344596;2.022348
2.325457;2.504238
2.287043;2.214396
2.409942;2.313325
2.557243;2.241296
2.534828;2.454294
2.435210;2.434606
2.342227;2.239188
2.956651;1.937360
2.253821;1.830750
2.503239;1.931402
2.684468;1.934992
2.672082;3.055843
2.103233;1.936625
2.367789;1.940431
2.628453;2.027793
2.567445;2.418461
2.213382;2.126043
2.557194;2.142525
2.395697;2.036685
2.278773;2.135027
2.032080;1.934875
1.837281;2.547565
2.338250;2.137077
2.338858;1.940316
2.880713;2.133366
2.621635;1.830418
2.224370;1.830077
2.245980;1.943242
2.749801;1.925176
2.454243;1.933547
2.434942;2.341844
2.560036;2.340351
2.422288;2.189080
2.182350;2.091764
2.611918;2.193058
2.234132;2.004764
2.435198;2.111979
2.441816;1.835757
6.436375;1.827161
2.543286;2.346467
2.542808;2.442306
2.449857;2.599170
2.329266;1.681932
2.342107;1.932952
2.750183;2.130818
2.350319;2.038753
2.326034;1.821653
3.065935;2.038075
3.066446;2.141498
2.433660;2.138196
3.697742;2.134471
2.668935;2.082052
2.329697;2.986472
3.488748;1.960147
2.430267;1.827829
2.664041;2.241461
2.112045;2.035676
2.284069;2.165335
2.001891;2.209640
2.561278;1.965160
2.218368;2.003470
2.136711;2.132605
2.536417;2.048209
2.249459;1.923856
2.240475;2.526912
2.141836;2.171453
2.246474;1.712387
2.231789;2.137009
2.440289;2.956085
2.645131;2.153972
2.034539;2.227743
2.440651;2.548642
2.545540;2.340348
2.236861;2.544008
2.241610;2.574202
2.050604;1.803485
2.426265;2.385737
2.062807;1.889485
2.424180;2.100761
2.536522;1.993867
2.340222;1.721180
2.546451;2.116807
2.612231;1.938850
1.969709;2.035200
2.133394;2.033293
2.339327;2.039026
2.443014;2.218920
2.650565;2.049418
2.250486;2.444691
2.554956;2.140105
2.456477;1.760251
2.413326;1.710256
2.333303;2.327174
2.544777;1.932787
2.241785;2.342025
2.031658;2.039028
2.443528;2.030259
2.341888;2.536412
2.822783;2.020540
2.884376;1.968775
2.259554;2.031170
2.222048;2.032535
2.338444;2.240693
1.932350;2.135587
2.546001;2.647365
2.168890;2.139202
2.415376;2.139330
2.741261;1.931398
2.143118;2.033924
2.958953;1.933791
2.443382;1.940408
2.178960;2.028466
2.565402;2.033146
2.739582;2.668452
2.828258;2.117241
