OpenFaaS;Fission
0.085829;0.020303
0.062108;0.007797
0.046647;0.011930
0.053303;0.008933
0.047476;0.007859
0.049831;0.008406
0.048546;0.009075
0.049101;0.010459
0.052799;0.008180
0.051767;0.007886
0.060511;0.009017
0.056425;0.008560
0.054143;0.008850
0.077411;0.007882
0.088422;0.007615
0.049886;0.008902
0.046457;0.008053
0.048560;0.008862
0.048136;0.008650
0.055182;0.008768
0.051779;0.008086
0.062201;0.009398
0.075203;0.007490
0.047578;0.262553
0.051161;0.007627
0.046097;0.008434
0.047718;0.008593
0.058158;0.009018
0.048141;0.007748
0.049490;0.008859
0.057359;0.009913
0.052565;0.009031
0.049422;0.010202
0.056300;0.008420
0.051988;0.008502
0.061532;0.010738
0.056118;0.008776
0.070831;0.009356
0.083877;0.021684
0.072128;0.010481
0.065301;0.010019
0.064984;0.018809
0.067737;0.010842
0.066198;0.010018
0.069957;0.008057
0.062492;0.008962
0.059371;0.008561
0.073195;0.008031
0.066757;0.008069
0.068931;0.009674
0.082709;0.008437
0.065753;0.008814
0.058662;0.008680
0.057966;0.008377
0.059593;0.008653
0.059930;0.007617
0.059668;0.008232
0.071961;0.008818
0.066875;0.014328
0.061125;0.009141
0.061193;0.007596
0.063582;0.008765
0.081887;0.009064
0.086870;0.008311
0.078906;0.008908
0.064229;0.008174
0.067296;0.008362
0.072688;0.008420
0.062259;0.008516
0.059082;0.007769
0.066078;0.007910
0.049499;0.008663
0.053113;0.010000
0.054776;0.007660
0.050270;0.008079
0.219413;0.008632
0.094147;0.008870
0.056788;0.007967
0.056264;0.007936
0.064693;0.009084
0.051702;0.012559
0.051939;0.009434
0.063681;0.008943
0.050411;0.010172
0.052543;0.008957
0.056134;0.008742
0.050057;0.009552
0.059321;0.010355
0.066195;0.008358
0.076512;0.011212
0.062951;0.009102
0.054735;0.008535
0.054478;0.011143
0.060725;0.008631
0.072102;0.008023
0.060303;0.008559
0.054299;0.009327
0.059294;0.008478
0.053721;0.008980
0.046552;0.009664
0.053460;0.008941
0.062560;0.008764
0.073670;0.008461
0.056718;0.008911
0.092265;0.007791
0.064545;0.007858
0.068327;0.008202
0.061648;0.008920
0.049981;0.009047
0.052675;0.008930
0.052687;0.008368
0.055794;0.009191
0.064157;0.008117
0.053845;0.008285
0.060695;0.008941
0.063847;0.008510
0.080518;0.008480
0.073630;0.008156
0.066536;0.008470
0.064316;0.008820
0.058534;0.008764
0.064059;0.007932
0.048125;0.009516
0.053639;0.008825
0.059545;0.009939
0.052858;0.008362
0.050950;0.010522
0.050350;0.008390
0.050439;0.008385
0.064738;0.009747
0.082339;0.008760
0.068325;0.010133
0.091284;0.011246
0.063258;0.007775
0.062278;0.009355
0.062902;0.009129
0.061719;0.008078
0.058270;0.008655
0.066383;0.012637
0.060287;0.009774
0.049362;0.008830
0.053309;0.008529
0.059428;0.007713
0.062833;0.008943
0.053173;0.008324
0.055733;0.008629
0.047606;0.007512
0.050355;0.008534
0.054207;0.008103
0.052657;0.006260
0.050061;0.009513
0.048699;0.008886
0.056785;0.009654
0.059993;0.008699
0.070263;0.013456
0.070559;0.009383
0.061001;0.011552
0.071771;0.008301
0.072559;0.023275
0.067232;0.023274
0.060980;0.008685
0.052949;0.010802
0.056632;0.009742
0.050298;0.008024
0.049544;0.008132
0.053669;0.009290
0.048835;0.009902
0.057636;0.008329
0.049385;0.007505
0.051310;0.009509
0.056061;0.008196
0.052565;0.009173
0.067293;0.009451
0.080951;0.008904
0.077110;0.008585
0.069209;0.016226
0.062814;0.008391
0.052279;0.008901
0.056075;0.009032
0.050535;0.008895
0.049260;0.010207
0.050991;0.008080
0.049011;0.009519
0.050020;0.015567
0.059953;0.009449
0.049295;0.008243
0.061037;0.008085
0.066373;0.007687
0.066639;0.008334
0.077857;0.009834
0.063039;0.007693
0.064572;0.007874
0.058245;0.008449
0.047270;0.014647
0.058010;0.008629
0.051135;0.009369
0.050370;0.008999
0.053749;0.008340
0.044822;0.010512
0.050005;0.012541
